Air temperature (C),Relative humidity (%),Air velocity (m/s),Radiant temperature (C),Clo,Met,Thermal comfort
22.6,47.8,0.12,22.3,0.8,1.1,6.0
15.0,48.9,0.04,15.0,1.68,1.2,5.0
21.0,42.2,0.11,22.2,0.98,1.0,5.0
22.3,44.9,0.07,22.5,0.93,1.0,6
29.7,65.5,0.36,29.5,0.3,1.2,3.0
22.9,33.2,0.04,22.8,0.67,1.2,6
28.6,58.1,0.28,29.0,0.4,1.2,3.0
28.6,76.6,0.28,30.1,0.29,1.2,2.0
23.3,48.4,0.01,23.5,0.49,1.0,6
24.5,24.2,0.05,24.9,0.45,1.2,3
23.0,41.9,0.22,23.0,0.81,1.0,3
23.1,48.0,0.1,23.4,0.34,1.26,5
23.3,46.0,0.1,23.7,0.32,1.12,5
15.8,34.6,0.16,16.2,0.85,1.2,2.0
21.8,27.0,0.02,22.0,0.63,1.0,2
24.1,55.8,0.2,24.6,0.63,1.2,3.0
23.2,45.2,0.09,23.5,0.53,1.03,3
29.2,54.1,0.74,29.5,0.8,2.0,3.0
26.5,48.4,0.04,27.2,0.4,1.6,3.0
22.6,28.5,0.08,22.9,0.62,1.2,6
23.1,58.8,0.06,22.4,0.3,1.4,4.0
27.8,81.8,0.53,28.2,0.23,1.2,2.0
27.4,46.3,0.31,28.1,0.67,1.1,2.0
23.6,49.2,0.21,23.6,0.69,1.27,5
22.9,23.0,0.07,22.2,1.0,1.2,4.0
23.5,45.7,0.03,23.6,0.76,1.4,5
18.7,62.3,0.16,20.0,0.79,1.6,5
23.9,49.6,0.09,23.9,0.4,1.2,6.0
21.0,29.4,0.06,20.2,0.93,1.0,5.0
27.7,41.3,0.09,27.6,1.4,1.0,5.0
22.2,36.4,0.01,22.6,0.56,1.2,5
26.4,45.0,0.36,25.1,0.46,1.1,2.0
23.4,45.0,0.1,23.6,0.77,1.49,5
30.4,71.4,0.53,30.9,0.39,1.2,5.0
22.5,41.7,0.17,23.1,0.68,1.27,4
26.1,58.6,0.23,25.1,0.67,1.1,2.0
29.3,41.0,0.35,28.9,0.71,1.1,5.0
17.3,58.1,0.09,17.6,0.89,1.55,4
21.8,26.3,0.03,22.0,0.98,1.0,3
22.2,51.7,0.14,24.9,0.39,1.0,5.0
25.4,40.8,0.42,24.1,0.64,1.1,5.0
22.0,24.7,0.05,22.2,0.39,1.2,5
22.1,39.0,0.09,22.7,1.04,1.0,5.0
22.5,59.0,0.17,23.1,0.6,1.47,5.0
22.6,39.0,0.03,22.9,0.9,0.99,4.0
25.9,39.6,0.14,24.1,0.62,1.1,2.0
23.2,28.3,0.04,21.9,0.5,1.2,6.0
22.3,42.1,0.17,22.8,0.44,1.42,5
26.3,47.9,1.24,26.3,0.37,1.2,6.0
23.8,30.6,0.04,24.1,0.76,1.2,5
18.8,36.0,0.04,16.9,1.2,1.0,2.0
27.8,45.6,0.45,28.3,0.32,1.2,5.0
23.7,34.0,0.01,23.8,1.02,1.0,3
21.9,47.7,0.06,22.1,0.96,1.0,5.0
22.9,64.4,0.03,23.0,0.26,1.2,2.0
